"collection","creator","date","description","format","identifier","language","mediatype","publisher","subject","title"
"wnyc-spinning-on-air,podcasts_mirror","WNYC","2007-08-19T00:00:00Z","Originally from London, songwriter Essie Jain left her home town for New York a few years ago in pursuit of her muse. Having performed traditional Irish music and studied opera and classical cello back home, Essie cleaned her aesthetic slate and has started writing austere, intense, lovely songs in a personal style. Her understated approach is perfect for the radio. Joined by guitarist Patrick Glynn and drummer Jim White, Essie plays piano, guitar and sings her songs in the WNYC Studio, and talks about them with host David Garland. This show first aired February 18, 2007.","Archive BitTorrent,Columbia Peaks,Essentia High GZ,Essentia Low GZ,Item Tile,Metadata,Ogg Vorbis,PNG,Spectrogram,VBR MP3","wnyc-spinning-on-air-08-19-2007","english","audio","","WNYC,Spinning On Air,David Garland","WNYC - Spinning On Air: 08/19/2007 - Essie Jain"
"users","","","","JSON,Metadata","@swapneel_jain","","account","","","@swapneel_jain"
"muthulakshmiacademy,additional_collections,fav-lucke133","Singhi Jain Series","","Muthulakshmi Research Academy Scans, 'Jina Dattakhyaan Duo Series No. 27 - Singhi Jain Series'","Additional Text PDF,Archive BitTorrent,DjVuTXT,Djvu XML,Image Container PDF,Item Tile,Metadata,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Processed JP2 ZIP,chOCR,hOCR","yapF_jina-dattakhyaan-duo-series-no.-27-singhi-jain-series","san","texts","","Muthulakshmi Research Academy,मुत्तुलक्षमी रिसर्च अकाडेमी,Bombay Scans MRA","Jina Dattakhyaan Duo Series No. 27 Singhi Jain Series"
"digitallibraryindia,JaiGyan","Vasudeva Sharana Agrawala","","Source: Digital Library of India Scanning Centre: C-DAC, Noida Source Library: Bharatiya Jnanpith Delhi Date Accessioned: 9/23/2015 15:52 The Digital Library of India was a project under the auspices of the Government of India.","Additional Text PDF,Archive BitTorrent,DjVuTXT,Djvu XML,Image Container PDF,Item Tile,Metadata,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Processed JP2 ZIP,chOCR,hOCR","dli.ernet.475129","hin","texts","Pandit Sunderlal Sastri Sri Mahaveer Jain Granthmala Kamcha B 21/129 Thakur Wadi Varanasi Utter Pradesh","Literature,Jain Sahitya,C-DAC, Noida,DLI Top-Up","Mahaveer Jain Granthmala Ka Tratiya Pushap"
"metropolitanmuseumofart-gallery","","","","Archive BitTorrent,JPEG,JPEG Thumb,JSON,Metadata","mma_leaf_from_a_kalpa_sutra_jain_book_of_rituals_75119","","image","","Folios,Metropolitan Museum of Art,Gold,Paintings,Ink, opaque watercolor, and gold on paper,India,15th century,Gujarat,Metal,Asia,India (Gujarat),Paper,Watercolors,Ink","Leaf from a Kalpa Sutra (Jain Book of Rituals)"
"metropolitanmuseumofart-gallery","","","","Archive BitTorrent,Item Tile,JPEG,JPEG Thumb,JSON,Metadata","mma_page_from_a_dispersed_kalpa_sutra_jain_book_of_rituals_75018","","image","","Folios,Metropolitan Museum of Art,Gold,Paintings,Ink, opaque watercolor, and gold on paper,India,15th century,Gujarat,Metal,Asia,India (Gujarat),Paper,Watercolors,Ink","Page from a Dispersed Kalpa Sutra (Jain Book of Rituals)"
"","","","Hardik Jain Favorites","Archive BitTorrent,Metadata","fav-hardik_jain","","collection","","favorites","Hardik Jain Favorites"
"tedtalks,culturalandacademicfilms","TED.com","2018-01-01T00:00:00Z","Finding a job used to start with submitting your résumé to a million listings and never hearing back from most of them. But more and more companies are using tech-forward methods to identify candidates. If AI is the future of hiring, what does that mean for you? Technologist Priyanka Jain gives a look at this new hiring landscape.","Archive BitTorrent,Item Tile,MPEG2,MPEG4,Metadata,Ogg Video,Thumbnail","PriyankaJainWWW_2018V","","movies","","Tedtalks,TED,Talks,business,work,personal growth,work-life balance,TED2017,2018","Priyanka Jain: How to make applying for jobs less painful"
"users","","","","JSON,Metadata","@pramod_jain","","account","","","@pramod_jain"
"users","","","","Metadata","@ayushi_jain","","account","","","@ayushi_jain"
